feature,F_raw,F_enhanced,group,improve_ratio
lbp_47,0.6555970640557783,0.6527314405985755,LBP纹理,0.9956289867430604
lbp_48,0.3408987200781003,0.35056885009145505,LBP纹理,1.0283665776454396
lbp_49,0.4899090329555393,0.42355314250682913,LBP纹理,0.8645546703859271
lbp_50,0.7471831518874089,0.6647903357614886,LBP纹理,0.889728755367833
lbp_51,0.6033188158472749,0.766913504836066,LBP纹理,1.2711579428494613
lbp_52,0.3615307675369784,0.5122724625726746,LBP纹理,1.4169539872394428
lbp_53,0.5393815270522847,0.5433924011541199,LBP纹理,1.007436061302928
lbp_54,0.3381788100681628,0.3742546600409519,LBP纹理,1.106676849340179
lbp_55,0.6265632531293933,0.6048247557788133,LBP纹理,0.9653051830873076
lbp_56,0.6336335880587778,0.5686929233244732,LBP纹理,0.897510697098371
lbp_57,0.2826055685434685,0.2914096403067021,LBP纹理,1.0311532140275157
lbp_58,0.6174362003519641,0.5117616504615293,LBP纹理,0.828849442531836
shape_area_ratio,0.46585304329633104,0.45527341951815037,形貌,0.9772897828373138
shape_perimeter_norm,0.4159147046833473,0.26017292384000495,形貌,0.6255439418461043
shape_compactness,0.3065408890833368,0.4007587043373011,形貌,1.3073580674160656
shape_extent,0.28456102766091534,0.4481362895218704,形貌,1.5748336769935254
shape_solidity,0.3634421566421151,0.44534645224216063,形貌,1.2253571692275427
shape_aspect,0.3951933891311764,0.6535185636530523,形貌,1.6536677526113082
shape_holes,0.0,0.0,形貌,0.0
shape_centroid_dx,0.3087075639132112,0.2437224357839414,形貌,0.7894929191034369
shape_centroid_dy,0.46991884420783575,0.43865654905653434,形貌,0.9334729910545827
shape_edge_density,0.3610149541988727,0.3378815261482014,形貌,0.9359211362782948
shape_bbox_w,0.3439304313556339,0.4188690237323363,形貌,1.2178888098971268
shape_bbox_h,0.3956652948806456,0.38172277370078567,形貌,0.9647618293511678
color_h00,0.6145027095226482,0.5971165303854481,颜色,0.9717069121604403
color_h01,0.5997780749183385,0.6061102998044334,颜色,1.0105576131404046
color_h02,0.45308194666179774,0.45455184983666186,颜色,1.0032442324941233
color_h03,0.7747979123299886,0.7653762478977533,颜色,0.9878398427728204
color_h04,0.7793995232269767,0.7352996244475141,颜色,0.94341810911326
color_h05,0.31153577721997155,0.3259996966352435,颜色,1.0464277956878536
color_h06,0.2712490856337703,0.2834676305339536,颜色,1.0450454786624985
color_h07,0.28528348370873824,0.2704456195309527,颜色,0.9479890529033138
color_h08,0.2975854652388352,0.30681461514427116,颜色,1.031013443136404
color_h09,0.36959225521301475,0.40232693863539093,颜色,1.0885697223347415
color_h10,0.6704197986407269,0.7089290174788864,颜色,1.0574404558385349
color_h11,0.4919424658955451,0.48815474438695666,颜色,0.9923004786694204
color_h12,0.6472628860560773,0.5574004840856911,颜色,0.8611655265470267
color_h13,0.45658218732836997,0.44573869742042077,颜色,0.9762507381806227
color_h14,0.3239838260284631,0.30831228052365073,颜色,0.9516286177064062
color_h15,0.30405279133294477,0.3167274339469343,颜色,1.041685664378818
color_h16,0.3209900626809527,0.2996395526819621,颜色,0.9334854486721436
color_h17,0.3823687904544816,0.3778957097084806,颜色,0.9883016583501164
color_s00,0.6339146892915127,0.7046312470213759,颜色,1.111555322700894
color_s01,0.5780362491736966,0.5361965382285077,颜色,0.9276174962972886
color_s02,0.5717535764444733,0.5818563385050692,颜色,1.0176697837596462
color_s03,0.4658040773718789,0.5298690950837958,颜色,1.1375364038722926
color_s04,0.47062115513515623,0.6795600684894748,颜色,1.4439641335138667
color_s05,0.6809189346572705,0.818895223483954,颜色,1.2026324747378763
color_s06,0.6916120176912174,0.8410852994778258,颜色,1.2161230255720157
color_s07,0.5952956750998405,0.5375415457824464,颜色,0.9029824476574422
color_v00,0.5050580971241374,0.5588452253960537,颜色,1.1064969130820401
color_v01,0.38469563716722815,0.4329330438545401,颜色,1.1253910937004405
color_v02,0.5238474234415463,0.4846650340563258,颜色,0.9252026685008257
color_v03,0.4115880298357815,0.4139728044394618,颜色,1.005794081532512
color_v04,0.3358290313207353,0.4914735328512945,颜色,1.4634635097417967
color_v05,0.5483214130427259,0.7319067078283172,颜色,1.3348132872752707
color_v06,0.31306520985739356,0.32473140699108244,颜色,1.0372644317072657
color_v07,0.5196897494983341,0.5446101606307817,颜色,1.0479524777147438
fractal_dimension,0.3845569324672272,0.3919654719628459,分形复杂度,1.0192651305154428
fractal_r2,0.3248609454359324,0.33651851607586014,分形复杂度,1.0358848017980387
symm_vertical,0.3007113314699339,0.21117104333167663,对称性,0.7022383968662916
symm_v_axis,0.4737727007183508,0.509447834818436,对称性,1.0753001049763273
symm_horizontal,0.48266253247708957,0.4630625120627267,对称性,0.9593918750752575
symm_h_axis,0.30820452499391526,0.1564938032415598,对称性,0.5077595899805223
gray_mean,0.6390262151829833,0.5737150331962116,灰度统计,0.8977957704458686
gray_std,0.6446644705129984,0.7340312675218564,灰度统计,1.138625286634154
morph_body_len_ratio,0.36858607075610933,0.3467335648733322,形态比例,0.9407126106559315
morph_body_width_ratio,0.5117405958630228,0.46998364206755544,形态比例,0.918402108150195
morph_wing_span_ratio,0.45319524438050107,0.6567135963507886,形态比例,1.4490743327349773
morph_tail_ratio,0.3291895036880127,0.4482003274018527,形态比例,1.3615267873949903
morph_wing_body_ratio,0.5192274142609395,0.7363577774569272,形态比例,1.4181796978182086
morph_tail_body_ratio,0.4520684516641373,0.6623992611952441,形态比例,1.4652631891373524
