class_id,iou,dice,area_coarse,area_refined,edge_coarse,edge_refined,fractal_coarse,fractal_refined,t_coarse,t_refined
35,0.9074604370761116,0.9514854614411384,0.21382533032549145,0.19403802771511441,0.06375282592313489,0.06244809832253778,1.4456361529920296,1.5625315654302971,0.005413532257080078,0.032502174377441406
36,0.9776649289951465,0.9887063421728137,0.393075428369546,0.384296060766649,0.022649649469710587,0.022569524247299473,1.667793345905638,1.6608167311591737,0.00598597526550293,0.05559945106506348
37,0.9178571428571428,0.957169459962162,0.043209876543209874,0.03966049382716049,0.0630952380952381,0.07003891050583658,1.3623085681592062,1.3418101905509647,0.0050106048583984375,0.020092010498046875
38,0.7092805120282498,0.8299170405758471,0.17292573086023968,0.12265285092741011,0.05765835356433458,0.04815246985608713,1.507507274535908,1.5348790780794155,0.006999492645263672,0.09799075126647949
39,0.9455110623514353,0.9719924812029618,0.17809111335439123,0.16838711778306034,0.059608703602121046,0.06081995745503771,1.5944866180520392,1.5897382963855633,0.0060007572174072266,0.06612873077392578
40,0.750664757619145,0.8575768197218967,0.0976356848856131,0.07792394262194205,0.0761204481792717,0.0664209879792928,1.4261546933750135,1.4571934542712572,0.009000778198242188,0.12363457679748535
41,0.935891209324915,0.966884094329913,0.02089337175792507,0.01955392296139952,0.10587663914521613,0.10534509600415153,1.2617457708303974,1.2917010810896714,0.007387399673461914,0.0868828296661377
42,0.9883144052600119,0.9941228637135535,0.35835154007625414,0.35416398920447245,0.02372982665869695,0.023859203483625146,1.7549343070673409,1.752141360770152,0.009233236312866211,0.08799386024475098
43,0.9630037436687954,0.9811532420909825,0.12941746466028273,0.12462950296397629,0.06276150627615062,0.0654013263206037,1.45564011617183,1.4650746892158164,0.005000591278076172,0.03529858589172363
44,0.945382323733863,0.971924451250514,0.029773960350664517,0.028147775823071125,0.05660377358490566,0.05803571428571429,1.4428974698066643,1.4298748272795372,0.009009599685668945,0.12608623504638672
45,0.9584036974491157,0.9787600980302723,0.2066982657260435,0.19810038212815992,0.0440849702248689,0.04581285356579801,1.590214846849601,1.573855233690697,0.00599360466003418,0.05398893356323242
46,0.9058352116203355,0.9505913272010305,0.24135448168034726,0.22831162953362547,0.04099897715649506,0.04054784645882141,1.6802634112670431,1.6623604891833934,0.0070953369140625,0.06467437744140625
47,0.9688670506262838,0.9841873785414548,0.38387445887445887,0.37192331478045765,0.03785895525393693,0.039865314266711006,1.7125786211585818,1.7033581414954262,0.0059986114501953125,0.0640418529510498
48,0.9850581073602657,0.9924728185112447,0.3888111888111888,0.3830016137708445,0.026747832503228187,0.02799625468164794,1.5755603088579775,1.5710809554353202,0.004997968673706055,0.029852867126464844
49,0.9760181930948936,0.9878635697843703,0.23623931623931624,0.23057387057387058,0.045896216663221,0.04744757466638424,1.6020374167002616,1.5932096197358292,0.00500178337097168,0.022510766983032227
50,0.9383280036546369,0.9681828894649631,0.32798921186694635,0.3077614623913695,0.04910918227501142,0.04746835443037975,1.5338397093623686,1.548746668681123,0.004082679748535156,0.039995670318603516
51,0.9532388942373814,0.9760597098999797,0.38747668531841195,0.3693578470556888,0.04793013340668409,0.04847785312364738,1.6011361687045484,1.5879119098825323,0.004914522171020508,0.037880659103393555
52,0.9796473302570864,0.9897190426638506,0.3375236400044499,0.33065413282901324,0.0228246539222149,0.021868954495752376,1.6327994971978042,1.6245233492502635,0.004999637603759766,0.03558039665222168
53,0.9364814040952779,0.9671989641777118,0.10189916538920116,0.09542667347981605,0.07229419139155871,0.07385095939312807,1.3822932319504122,1.4124686974646992,0.00498652458190918,0.04462885856628418
54,0.9488966318234611,0.9737783075089247,0.27483401430030646,0.2607890704800817,0.04044715447154471,0.040238678090575276,1.6659335825616746,1.6506257708700518,0.00800013542175293,0.12137675285339355
55,0.9328344419807835,0.9652502270445733,0.3280596472085834,0.30602533794023157,0.03630820399113082,0.034416163216797066,1.7005097839320382,1.686762199157463,0.007090091705322266,0.06895971298217773
56,0.9608362779740872,0.9800270310857352,0.24064625850340135,0.23122165532879818,0.03362244351643645,0.03424065973866771,1.6092104909466602,1.5988713755621666,0.010987043380737305,0.1526811122894287
57,0.7849746715892505,0.8795359218070489,0.356062602758638,0.2962460936029218,0.04191046880507578,0.041878495170310115,1.7028701455060846,1.6724661206589917,0.010911941528320312,0.1389472484588623
58,0.9146690788481834,0.9554330708661041,0.11072649572649573,0.10636752136752137,0.03990737167116943,0.04098031337886701,1.5392102030372672,1.525457752648179,0.008000373840332031,0.07795524597167969
59,0.9756766015758821,0.9876885729147747,0.1053030303030303,0.10274170274170275,0.03408701610140459,0.03441011235955056,1.4692164744829617,1.484948677623777,0.005554914474487305,0.049042701721191406
60,0.9604534329511787,0.9798278467704199,0.06660089224433768,0.06396705559368565,0.04096354502125467,0.03969957081545064,1.521829238660643,1.509142615764244,0.007987499237060547,0.11185622215270996
61,0.9677995281515016,0.9836363047211373,0.12337549954372384,0.11940275024387174,0.047248613147994646,0.04882066148372645,1.4708784678578697,1.4631041251301662,0.009001493453979492,0.12025713920593262
62,0.9477244178181466,0.9731606885944846,0.13748073755247356,0.13029385195812743,0.048796985215962894,0.05118270799347471,1.572937261581051,1.5566102572068687,0.00593113899230957,0.07098937034606934
63,0.9816252659500981,0.9907274425868204,0.3402720973307383,0.33401968803768367,0.018761570556215634,0.019450543264088273,1.689005632681236,1.6836188130811232,0.007908344268798828,0.09895944595336914
64,0.600281197750418,0.7502196471398203,0.3273622928795343,0.19650942926804996,0.0449156406748746,0.052478318668101535,1.6884269782445482,1.5868223439984779,0.0069239139556884766,0.07752060890197754
65,0.9342857844220243,0.9660266253791265,0.2814757336343115,0.2743721783295711,0.032805373164252416,0.031803573724129064,1.6534132598793798,1.647166597304433,0.008013725280761719,0.11343193054199219
66,0.9761231542569903,0.9879173290937211,0.15270581462291308,0.14905968144310114,0.043512409676405905,0.04473768908915352,1.456893980927876,1.4493739052281867,0.00601959228515625,0.04057621955871582
67,0.9667375265724647,0.9830874872837938,0.19223095598663495,0.18583687892117978,0.04726772539702388,0.048182641314189624,1.4604930864771426,1.4535878592163824,0.00599360466003418,0.07771563529968262
