class_id,class_name_raw,class_name_clean,sci_name,taxonomy,matched,Mass,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Hand-Wing.Index,Tail.Length,Habitat,Trophic.Level,Trophic.Niche,Primary.Lifestyle,Migration,Range.Size,family,order
42,042.Vermilion_Flycatcher,Vermilion Flycatcher,Pyrocephalus rubinus,BirdLife,True,14.4,14.4,9.7,5.4,4.0,16.7,74.3,22.4,57.6,Woodland,Carnivore,Invertivore,Insessorial,3.0,8461953.41,Tyrannidae,Passeriformes
43,043.Yellow_bellied_Flycatcher,Yellow bellied Flycatcher,Empidonax flaviventris,BirdLife,True,11.8,12.9,8.4,5.7,3.7,17.2,66.9,24.1,52.6,Forest,Carnivore,Invertivore,Insessorial,3.0,5332665.34,Tyrannidae,Passeriformes
44,044.Frigatebird,Frigatebird,Fregata magnificens,BirdLife,True,1490.5,121.9,95.9,25.8,22.5,28.9,642.0,64.0,439.8,Marine,Carnivore,Aquatic predator,Aerial,3.0,191468.89,Fregatidae,Suliformes
45,045.Northern_Fulmar,Northern Fulmar,Fulmarus glacialis,BirdLife,True,611.9,41.3,23.6,11.9,14.4,48.8,321.1,51.1,134.9,Marine,Carnivore,Aquatic predator,Aquatic,3.0,29451058.1,Procellariidae,Procellariiformes
46,046.Gadwall,Gadwall,Mareca strepera,BirdLife,True,915.6,48.7,34.7,16.5,13.7,36.5,251.3,54.8,83.0,Wetland,Herbivore,Herbivore aquatic,Aquatic,2.0,18552362.65,Anatidae,Anseriformes
47,047.American_Goldfinch,American Goldfinch,Spinus tristis,BirdLife,True,12.8,11.5,8.2,4.3,6.3,13.5,69.8,27.6,48.3,Forest,Herbivore,Granivore,Insessorial,1.0,7802444.22,Fringillidae,Passeriformes
48,048.European_Goldfinch,European Goldfinch,Carduelis caniceps,BirdLife,True,16.0,15.4,11.2,5.5,7.2,14.7,77.4,33.4,48.6,Woodland,Herbivore,Granivore,Insessorial,1.0,3644376.73,Fringillidae,Passeriformes
49,049.Boat_tailed_Grackle,Boat tailed Grackle,Quiscalus major,BirdLife,True,151.2,38.5,28.1,6.9,10.5,42.8,155.0,29.7,141.4,Wetland,Carnivore,Omnivore,Terrestrial,1.0,202767.11,Icteridae,Passeriformes
50,050.Eared_Grebe,Eared Grebe,Podiceps nigricollis,BirdLife,True,412.4,26.2,15.4,5.5,5.9,39.6,127.2,44.0,28.0,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,16435591.3,Podicipedidae,Podicipediformes
51,051.Horned_Grebe,Horned Grebe,Podiceps auritus,BirdLife,True,453.0,30.2,15.4,4.7,7.1,42.9,137.8,42.2,33.2,Wetland,Carnivore,Aquatic predator,Aquatic,3.0,16211072.27,Podicipedidae,Podicipediformes
